,time,open,high,low,close,volume
6378,2022-11-09 18:46:00,176.86,176.9,176.86,176.89,1454
6379,2022-11-09 18:44:00,176.89,176.9,176.84,176.9,2779
6380,2022-11-09 18:43:00,176.91,176.91,176.85,176.85,1344
6381,2022-11-09 18:42:00,176.9,176.9,176.9,176.9,1001
6382,2022-11-09 18:41:00,176.79,176.82,176.75,176.81,3304
6383,2022-11-09 18:40:00,176.93,176.93,176.8,176.8,4022
6384,2022-11-09 18:39:00,176.95,176.97,176.89,176.89,3871
6385,2022-11-09 18:38:00,176.96,176.97,176.95,176.95,1515
6386,2022-11-09 18:37:00,176.75,176.8,176.75,176.8,1580
6387,2022-11-09 18:36:00,176.9,176.9,176.76,176.76,3392
6388,2022-11-09 18:35:00,176.91,176.91,176.88,176.88,3732
6389,2022-11-09 18:34:00,176.95,177.02,176.95,176.99,5440
6390,2022-11-09 18:33:00,177.07,177.07,176.95,176.95,4715
6391,2022-11-09 18:32:00,177.1,177.14,177.07,177.07,1506
6392,2022-11-09 18:31:00,177.13,177.13,177.11,177.11,1380
6393,2022-11-09 18:30:00,177.05,177.14,177.0,177.13,4254
6394,2022-11-09 18:29:00,177.1,177.15,177.01,177.01,2379
6395,2022-11-09 18:28:00,177.15,177.15,177.05,177.1,3107
6396,2022-11-09 18:27:00,177.16,177.16,177.01,177.01,1589
6397,2022-11-09 18:26:00,177.16,177.22,177.13,177.13,3040
6398,2022-11-09 18:25:00,177.12,177.22,177.1,177.22,3352
6399,2022-11-09 18:24:00,176.97,177.03,176.97,177.0,9649
6400,2022-11-09 18:23:00,176.96,176.97,176.95,176.97,5531
6401,2022-11-09 18:22:00,176.92,176.96,176.9,176.96,2351
6402,2022-11-09 18:21:00,176.88,176.96,176.88,176.91,2285
6403,2022-11-09 18:20:00,176.89,176.95,176.82,176.92,4817
6404,2022-11-09 18:19:00,176.78,176.89,176.78,176.89,1857
6405,2022-11-09 18:18:00,176.73,176.76,176.73,176.76,1542
6406,2022-11-09 18:17:00,176.71,176.73,176.7,176.71,2527
6407,2022-11-09 18:16:00,176.75,176.75,176.73,176.7301,2669
6408,2022-11-09 18:15:00,176.73,176.75,176.73,176.75,940
6409,2022-11-09 18:14:00,176.75,176.75,176.7,176.73,2339
6410,2022-11-09 18:13:00,176.75,176.77,176.75,176.75,1756
6411,2022-11-09 18:12:00,176.83,176.84,176.75,176.75,2230
6412,2022-11-09 18:11:00,176.75,176.85,176.75,176.85,2806
6413,2022-11-09 18:10:00,176.7501,176.8,176.75,176.75,2491
6414,2022-11-09 18:09:00,176.8,176.8,176.75,176.78,2760
6415,2022-11-09 18:08:00,176.88,176.88,176.85,176.87,1563
6416,2022-11-09 18:07:00,176.92,176.95,176.86,176.86,3720
6417,2022-11-09 18:06:00,176.87,176.93,176.87,176.92,2159
6418,2022-11-09 18:05:00,176.9,176.92,176.85,176.85,2445
6419,2022-11-09 18:04:00,176.8,176.89,176.8,176.88,2313
6420,2022-11-09 18:03:00,176.9,176.9,176.8,176.86,5291
6421,2022-11-09 18:02:00,176.88,176.9,176.8301,176.8301,2739
6422,2022-11-09 18:01:00,176.79,176.89,176.73,176.8,7267
6423,2022-11-09 18:00:00,176.79,176.79,176.75,176.75,1189
6424,2022-11-09 17:59:00,176.7799,176.79,176.7799,176.79,4300
6425,2022-11-09 17:58:00,176.7,176.7,176.7,176.7,1923
6426,2022-11-09 17:57:00,176.6601,176.7,176.6601,176.6711,5305
6427,2022-11-09 17:56:00,176.6515,176.69,176.65,176.67,1817
6428,2022-11-09 17:55:00,176.7,176.7,176.69,176.69,2191
6429,2022-11-09 17:54:00,176.7,176.8,176.66,176.66,3509
6430,2022-11-09 17:53:00,176.64,176.74,176.63,176.74,6478
6431,2022-11-09 17:52:00,176.61,176.7,176.61,176.66,1855
6432,2022-11-09 17:51:00,176.69,176.7,176.55,176.65,2515
6433,2022-11-09 17:50:00,176.55,176.7,176.55,176.66,2936
6434,2022-11-09 17:49:00,176.53,176.75,176.5,176.75,3659
6435,2022-11-09 17:48:00,176.66,176.7,176.52,176.52,3679
6436,2022-11-09 17:47:00,176.79,176.79,176.7,176.7,1354
